Workshop,Overview,CourseLink,RegistrationLive,ClosingDate,NextSession,InstallationLink
Introduction to Version Control with Git and GitHub,Over three sessions learn to use version control to manage your software development and collaborate effectively with others.,https://uniexeterrse.github.io/intro-version-control/,N,25th April 2024,3rd & 10th May 2024,https://uniexeterrse.github.io/intro-version-control/setup.html
Computational Thinking,Over two sessions this course will introduce you to some fundamental principles that are the basis of writing computer code in any language and should enable you to develop and debug your code more effectively.,-,N,4th April 2024,12th & 19th April 2024, 
Introduction to R,Over three sessions this workshop will provide an all-purpose introduction to the R programming language and may provide an accessible entry to computer programming in general.,https://uniexeterrse.github.io/intro-to-r/,N,27th May 2024,4th 11th & 18th June 2024,https://uniexeterrse.github.io/intro-to-r/setup.html
Regression analysis with R,In this hands on workshop you will learn how to fit and interpret a range of regression models with R and the link between regression and other common statistical tools.,https://uniexeterrse.github.io/intro-regression-with-r/,N,17th June 2024,25th June 2024,https://uniexeterrse.github.io/intro-to-r/setup.html
Introduction to Unix,Over two sessions this workshop will introduce you to navigating the file system and show you how to carry out basic operations on the Unix systems using the shell (also referred to as the command line).,https://uniexeterrse.github.io/intro-unix-shell/,Y,27th February 2024,6th & 13th March 2024,https://uniexeterrse.github.io/intro-regression-with-r/setup.html
Introduction to Python,Over two sessions learn the fundamentals of Python which is one of the most popular programming languages and get introduced to a variety of applications.,https://uniexeterrse.github.io/intro-to-python/,Y,25th March 2024,2nd & 9th April 2024,https://uniexeterrse.github.io/intro-to-python/setup.html
Introduction to HPC & ISCA,Over two sessions learn about the high performance computing facilities at Exeter and how to use them.,https://uniexeterrse.github.io/intro-to-isca/,N,29th April 2024,7th & 14th May 2024,https://uniexeterrse.github.io/intro-to-isca/setup.html
Software development best practice,Over two sessions learn about best practices in software development to improve your workflow and increase the impact of your research.,-,N,8th April 2024,16th & 23rd April 2024,
Introduction to Julia,Over three sessions learn about the Julia programming language which is a relatively new programming language developed specifically for scientific computing and analytical workflows.,-,N,N/A,TBC,
Working with Data in R,Over two sessions learn how to use the Tidyverse to work with data in R to help you manipulate and analyse data. ,-,Y,4th March 2024,12th & 19th March 2024,
Advanced Regression Analysis,This single session workshop follows on from the Regression Analysis with R workshop.,-,N,18th April 2024,26th April 2024,
Intermediate Python,Over three sessions this workshop will build on the content covered in the introductory workshop.,-,N,9th May 2024,17th 24th & 31st May 2024,
Intermediate Version Control,Over two sessions this workshop will build on the content covered in the introductory workshop.,-,N,13th May 2024,21st & 28th May 2024,
Parallel Computing,TBC,-,N,31st May 2024,7th & 14th June 2024,
Introduction to Machine Learning,TBC,-,N,13th June 2024,21st & 28th June 2024,
